осот
гиднокарпус
леонотис
лаванда
акация
zornia
foetidus
вяз
erianthum
робиния
прямостоячий
sarcandra
марена
валериана
аризема
дереза
цекропий
palustris
oenocarpus
requienii
смирние
americanum
retusa
vitis
бархатцы
змееголовник
occidentalis
соссюрей
cosmos
черноголовка
origanum
анис
бузульник
литрамин
сныть
зюзник
нут
christella
sphacelatum
лох
козлятник
вирол
psychotria
dentata
interruptus
горичник
виноград
яблоко
scutellaria
свекла
мирт
anemarrhena
pedicularis
табак
orostachys
salvia
reptans
semecarpus
пион
commiphora
сметать
коньяк
oenothera
stephania
urceola
толокнянка
кутра
марихуана
джекфрут
селезеночник
roxburghianum
якобей
пуэрария
астрагал
micrantha
свинора
клевер
сапот
портулак
lobelia
чесночник
плевел
gallica
zanthoxylum
justicia
tuberosa
льнянка
biflora
адиантум
australe
омела
роза
senega
фисташка
любисток
пачули
otostegia
ива
tinospora
живокость
копеечник
гуннер
colorata
viridiflora
майоран
vaccinium
редис
bulnesia
parietaria
цетрарий
bridelia
tradescantia
integerrima
осина
магнолия
бессмертник
канавалий
pterocaulon
ландыш
душица
береза
дурман
подладанник
bicolor
раффлезия
резеда
umbellatum
чистец
viride
диплазиум
петрушка
сутерландия
пеларгония
schefflera
рута
многоколосник
скрученник
хеймия
crebra
бругмансия
pallida
улекс
юстиция
кофе
ункарий
дрок
босвеллия
вероника
купальница
банан
чертополох
калган
ортилия
жабник
xysmalobium
ноготок
рапс
sumatrensis
белокудренник
эклипт
ningpoensis
квассия
mentha
rhetsa
бадан
синюха
чистотел
сарум
osmanthus
перилла
донник
птерокарпус
зайцегуб
плаун
liquidambar
папайя
сумы
brantii
сушеница
treculia
cibotium
котовник
calophylla
эритрина
ophiopogon
левзея
алоказия
convolvulus
kaempferia
malpighia
жабриц
розмарин
дубровник
таран
guarea
воронец
alliacea
хурма
mimosa
рейнутрия
cubense
чабер
ксантогумол
красник
тополь
stenochlaena
thapsia
зира
афрамомум
пеумус
alba
зопник
heterophylla
полынь
колоцинт
мята
pectoralis
марь
тыква
polygala
arboricola
лолота
ряска
virola
тис
архат
flemingia
чага
тонкосемянник
падуб
шелковица
шинус
молодить
витекс
trifoliata
ункарина
лук
martynia
rauvolfia
sedum
адонис
нарцисс
combretum
dendroideum
иглица
кислица
densiflora
tupa
